X,Y
3.2,6.9
4.9,6.9
6.6,6.9
8.3,6.9
10.0,6.9
11.7,6.9
13.4,6.9
15.1,6.9
16.8,6.9
18.5,6.9
20.2,6.9
21.9,6.9
23.6,6.9
25.3,6.9
27.0,6.9
28.7,6.9
30.4,6.9
32.1,6.9
33.8,6.9
35.5,6.9
37.2,6.9
38.9,6.9
40.6,6.9
3.2,30.4
4.9,30.4
6.6,30.4
8.3,30.4
10.0,30.4
11.7,30.4
13.4,30.4
15.1,30.4
16.8,30.4
18.5,30.4
20.2,30.4
21.9,30.4
23.6,30.4
25.3,30.4
27.0,30.4
28.7,30.4
30.4,30.4
32.1,30.4
33.8,30.4
35.5,30.4
37.2,30.4
38.9,30.4
40.6,30.4
19.2,1.8
19.2,3.5
19.2,5.2
19.2,8.6
19.2,10.3
19.2,12.0
19.2,13.7
19.2,15.4
19.2,17.1
19.2,18.6
19.2,20.2
19.2,21.9
19.2,23.6
19.2,25.3
19.2,27.0
19.2,28.7
11.7,18.6
13.4,18.6
15.1,18.6
16.8,18.6
20.9,18.6
22.6,18.6
14.6,32.9
14.6,34.6
16.3,32.9
16.3,34.6
19.7,32.9
19.7,34.6
21.4,32.9
21.4,34.6
23.1,32.9
23.1,34.6
20.9,22.5
22.6,22.5
24.3,22.5
20.9,24.2
22.6,24.2
24.3,24.2
20.9,25.9
22.6,25.9
24.3,25.9
26.6,28.3
29.2,25.4
29.2,27.1
29.2,28.8
30.9,25.4
30.9,27.1
30.9,28.8
32.6,25.4
32.6,27.1
32.6,28.8
34.3,25.4
34.3,27.1
34.3,28.8
6.8,32.9
6.8,34.6
16.6,11.6
16.6,25.6
3.2,32.9
3.2,34.6
10.0,33.9
11.7,33.9
31.6,33.9
33.3,33.9
